timestamp,TempSensor,CurrentSensor,carbonIntensity,ReleState
2025-12-27T00:00:00,27.07,0.03,50,False
2025-12-27T00:01:00,27.08,0.31,45,False
2025-12-27T00:02:00,27.74,0.21,52,False
2025-12-27T00:03:00,24.87,0.3,53,False
2025-12-27T00:04:00,27.36,0.24,41,False
2025-12-27T00:05:00,26.63,0.16,44,False
2025-12-27T00:06:00,26.52,0.24,50,False
2025-12-27T00:07:00,25.96,0.21,48,False
2025-12-27T00:08:00,26.91,0.28,49,False
2025-12-27T00:09:00,26.77,0.16,46,False
2025-12-27T00:10:00,26.88,0.14,53,False
2025-12-27T00:11:00,25.68,0.32,52,False
2025-12-27T00:12:00,27.44,0.36,49,False
2025-12-27T00:13:00,26.56,0.31,54,False
2025-12-27T00:14:00,25.74,0.19,51,False
2025-12-27T00:15:00,26.84,0.18,46,False
2025-12-27T00:16:00,26.63,0.18,51,False
2025-12-27T00:17:00,27.46,0.34,45,False
2025-12-27T00:18:00,26.88,0.17,53,False
2025-12-27T00:19:00,26.01,0.34,49,False
2025-12-27T00:20:00,26.58,0.31,48,False
2025-12-27T00:21:00,25.76,0.37,46,False
2025-12-27T00:22:00,28.64,0.36,54,False
2025-12-27T00:23:00,28.82,0.3,48,False
2025-12-27T00:24:00,28.96,0.1,47,False
2025-12-27T00:25:00,26.97,0.31,48,False
2025-12-27T00:26:00,28.87,0.26,51,False
2025-12-27T00:27:00,28.0,0.21,51,False
2025-12-27T00:28:00,26.79,0.39,51,False
2025-12-27T00:29:00,27.0,0.23,51,False
2025-12-27T00:30:00,27.48,0.2,58,False
2025-12-27T00:31:00,27.77,0.36,48,False
2025-12-27T00:32:00,28.05,0.21,47,False
2025-12-27T00:33:00,27.7,0.19,46,False
2025-12-27T00:34:00,27.37,0.14,52,False
2025-12-27T00:35:00,29.09,0.17,54,False
2025-12-27T00:36:00,27.64,0.18,49,False
2025-12-27T00:37:00,27.6,0.31,46,False
2025-12-27T00:38:00,27.58,0.15,46,False
