timestamp,TempSensor,CurrentSensor,carbonIntensity,ReleState
2026-01-09T09:28:51,30.51,2.01,68,False
2026-01-09T09:28:56,37.25,7.22,68,False
2026-01-09T09:29:01,43.45,1.37,68,False
2026-01-09T09:29:06,41.23,6.76,68,False
2026-01-09T09:29:11,42.36,5.91,68,False
2026-01-09T09:29:16,54.14,4.18,68,False
2026-01-09T09:29:21,59.57,7.82,68,False
2026-01-09T09:29:26,59.29,2.84,68,False
2026-01-09T09:29:31,66.72,7.26,68,False
2026-01-09T09:29:36,78.72,6.98,68,False
2026-01-09T09:29:41,88.86,6.59,68,False
2026-01-09T09:29:46,81.67,6.26,68,False
2026-01-09T09:29:51,84.04,2.75,68,False
2026-01-09T09:29:56,87.2,0.82,68,False
2026-01-09T09:30:01,92.09,7.34,68,False
2026-01-09T09:30:06,84.91,3.52,68,False
2026-01-09T09:30:11,90.12,2.33,68,False
2026-01-09T09:30:16,92.69,7.4,68,False
2026-01-09T09:30:21,89.91,2.97,68,False
2026-01-09T09:30:26,86.24,6.31,68,False
2026-01-09T09:30:31,85.4,5.85,68,False
2026-01-09T09:30:36,82.18,5.71,68,False
2026-01-09T09:30:41,88.76,1.47,68,False
2026-01-09T09:30:46,82.83,1.16,68,False
2026-01-09T09:30:51,86.93,4.94,68,False
2026-01-09T09:30:56,81.32,7.86,68,False
2026-01-09T09:31:01,75.94,7.45,68,False
2026-01-09T09:31:06,72.36,4.18,68,False
2026-01-09T09:31:11,65.4,6.59,68,False
2026-01-09T09:31:16,64.7,5.49,68,False
2026-01-09T09:31:21,65.61,7.44,68,False
2026-01-09T09:31:26,60.77,6.35,68,False
2026-01-09T09:31:31,59.89,1.1,68,False
2026-01-09T09:31:37,54.68,5.28,68,False
2026-01-09T09:31:42,51.84,4.99,68,False
2026-01-09T09:31:47,50.46,3.44,68,False
2026-01-09T09:31:52,63.03,6.61,68,False
2026-01-09T09:31:57,58.08,2.26,68,False
2026-01-09T09:32:02,58.08,4.85,68,False
2026-01-09T09:32:07,62.73,4.18,68,False
2026-01-09T09:32:12,68.72,2.33,68,False
2026-01-09T09:32:17,70.71,6.81,68,False
2026-01-09T09:32:22,81.58,0.73,68,False
2026-01-09T09:32:27,79.57,2.73,68,False
